category,train_fraction,n_train_examples,f1_mean,f1_sd
granulated_sugar,0.05,66,0.8721834702699253,0.019645261577297873
granulated_sugar,0.1,132,0.9058696194687647,0.010027435127769699
granulated_sugar,0.2,264,0.9227337405006548,0.018662686150573163
granulated_sugar,0.4,528,0.9394369946991006,0.010464877211359863
granulated_sugar,1.0,1320,0.9579150618395426,0.012048469865103018
milk,0.05,66,0.8855600986501692,0.027907039592288175
milk,0.1,132,0.9028508690696828,0.03486881595984761
milk,0.2,264,0.9212801254374605,0.02830595383458243
milk,0.4,528,0.9338691191288874,0.02458607222671024
milk,1.0,1320,0.9514296611987797,0.018540988181288676
bread,0.05,66,0.8709293538307719,0.0192629615291955
bread,0.1,132,0.8854880424509972,0.017026754354478896
bread,0.2,264,0.904618447820231,0.015178472400779448
bread,0.4,528,0.9253984145394696,0.017409277242224873
bread,1.0,1320,0.9584264399532954,0.01634279093026841
beer,0.05,66,0.8288006393047803,0.011042498634623216
beer,0.1,132,0.8771279672223198,0.018883946935524358
beer,0.2,264,0.9127245827739314,0.008760505524698588
beer,0.4,528,0.9228655524820393,0.01592141070743084
beer,1.0,1320,0.9613954804903116,0.013109733366994676
laundry_detergent,0.05,66,0.9107700809740453,0.028623868802273297
laundry_detergent,0.1,132,0.9364399647986437,0.023808906007912058
laundry_detergent,0.2,264,0.9502014975991735,0.01832264492320989
laundry_detergent,0.4,528,0.9734616592723911,0.012205394544696619
laundry_detergent,1.0,1320,0.9854806096923904,0.0051985023019980245
fresh_apples,0.05,66,0.9509877529228035,0.023309530064310937
fresh_apples,0.1,132,0.9542279689258788,0.02569027882054197
fresh_apples,0.2,264,0.9577385062121417,0.02101583980402404
fresh_apples,0.4,528,0.9691782178168428,0.01206481445771582
fresh_apples,1.0,1320,0.9817514089612931,0.010053399304139485
